ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,8350,24.15%,1949
山芋・自然薯,8213,23.75%,800
菊芋,4603,13.31%,620
ブロッコリー,3168,9.16%,653
たけのこ,3115,9.01%,506
れんこん,1102,3.19%,391
カリフラワー,1041,3.01%,148
行者にんにく,904,2.62%,147
明日葉,762,2.20%,120
小松菜,565,1.63%,267
ゴーヤー,541,1.56%,121
オクラ,512,1.48%,206
ピーマン,438,1.27%,218
大葉・しそ,402,1.16%,150
セロリ,328,0.95%,97
エシャロット,149,0.43%,37
パセリ,87,0.25%,59
銀杏,79,0.23%,22
パクチー・コリアンダー,48,0.14%,27
かぶ,47,0.14%,26
ヤーコン,37,0.11%,14
ルッコラ,33,0.10%,11
春菊,32,0.09%,17
水菜,23,0.07%,25
