ジャンル名,売上指数（千円）,シェア,商品ランク入り数
防犯カメラ単体,132921,55.98%,5642
防犯カメラセット,93083,39.21%,1727
レコーダー,6213,2.62%,154
アクセサリー・パーツ,5208,2.19%,856
