ジャンル名,売上指数（千円）,シェア,商品ランク入り数
梅干し,231563,59.19%,21304
漬物,100958,25.80%,22631
キムチ,44609,11.40%,7576
メンマ・ザーサイ,8620,2.20%,1764
その他,2974,0.76%,981
オリーブ,1214,0.31%,397
ピクルス,1145,0.29%,414
水キムチ,166,0.04%,79
