ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,231241,24.48%,20004
防災セット・非常用持ちだし袋,225307,23.86%,4178
簡易トイレ,93381,9.89%,4113
その他,71313,7.55%,5638
火災警報器・ガス警報器,57802,6.12%,3842
携帯用浄水器,31802,3.37%,826
懐中電灯,31156,3.30%,5553
保存水,30452,3.22%,1916
消火器,25660,2.72%,1875
防災ラジオ,25393,2.69%,1443
家具転倒防止用品,23003,2.44%,4451
給水用品,13846,1.47%,2157
メガホン・拡声器,12628,1.34%,983
応急手当用品,12382,1.31%,1352
防災ヘルメット,10571,1.12%,833
携帯トイレ,10134,1.07%,1396
土嚢,8577,0.91%,634
簡易毛布・寝袋,7694,0.81%,1519
避難はしご,6627,0.70%,404
固形燃料,3843,0.41%,571
ガソリン缶,2560,0.27%,373
防災用ストーブ,2148,0.23%,134
笛・ホイッスル,1883,0.20%,812
担架,1419,0.15%,141
発熱・加熱剤,1408,0.15%,534
放射能測定器・ガイガーカウンター,1199,0.13%,105
防災頭巾,1044,0.11%,344
