ジャンル名,売上指数（千円）,シェア,商品ランク入り数
みかん,252188,22.65%,15318
さくらんぼ,188246,16.91%,5011
セット・詰め合わせ,99510,8.94%,4235
マンゴー,91784,8.24%,3639
りんご,77136,6.93%,4508
メロン,68000,6.11%,3607
梅,43797,3.93%,2988
いちご,37652,3.38%,3663
スイカ,28390,2.55%,2057
レモン,26258,2.36%,2803
オレンジ,23070,2.07%,2135
ブルーベリー,22673,2.04%,1221
桃,21660,1.95%,1635
その他,17825,1.60%,2884
柿,13176,1.18%,855
びわ,11984,1.08%,809
パイナップル,11531,1.04%,1286
ライチ,8811,0.79%,527
グレープフルーツ,8480,0.76%,788
キウイフルーツ,7855,0.71%,831
ザクロ,7355,0.66%,359
ブドウ,7269,0.65%,697
栗,5545,0.50%,577
和梨,4584,0.41%,260
バナナ,4357,0.39%,646
プラム,4219,0.38%,224
あんず,2754,0.25%,326
ドリアン,2208,0.20%,183
パッションフルーツ,2204,0.20%,188
すだち,2160,0.19%,268
アボカド,2086,0.19%,299
じゃばら,2061,0.19%,194
パパイヤ,1690,0.15%,228
マンゴスチン,1670,0.15%,148
イチジク,1187,0.11%,196
ドラゴンフルーツ,894,0.08%,164
ゆず,527,0.05%,154
洋梨,368,0.03%,134
かぼす,223,0.02%,121
ミラクルフルーツ,70,0.01%,97
