ジャンル名,売上指数（千円）,シェア,商品ランク入り数
エクササイズ用ポール,61179,43.89%,1743
ぶら下がり器,43185,30.98%,1034
その他,17597,12.62%,1227
ストレッチマット,10445,7.49%,586
ストレッチングボード,6977,5.01%,569
