ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,242561,29.69%,32237
その他,145719,17.84%,17596
モップ,128392,15.72%,6243
雑巾・テーブルダスター,54410,6.66%,6470
ガラス・サッシ掃除用具,44016,5.39%,5745
フローリングワックス,42691,5.23%,3434
ほうき,35738,4.38%,4600
使い捨てクロス,27459,3.36%,2350
フロアワイパー・ダスター取替シート,20195,2.47%,2867
粘着式クリーナー,19448,2.38%,3249
フロアワイパー・ダスター本体,18005,2.20%,4341
バケツ,12049,1.48%,2275
トイレポット,9531,1.17%,1025
はたき,8308,1.02%,1072
スプレーボトル,3995,0.49%,1100
ちりとり,3024,0.37%,870
モップ絞り器,910,0.11%,172
ラバーカップ,393,0.05%,169
