ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1439755,22.08%,35952
その他,1366192,20.95%,31000
植物性エキス,590215,9.05%,44960
ビタミン,578663,8.87%,38021
ファイトケミカル,520252,7.98%,14515
アミノ酸,467551,7.17%,23253
ミネラル,272161,4.17%,24169
プロバイオティクス,205099,3.15%,11151
コラーゲン,155671,2.39%,10518
脂肪酸・オイル,154718,2.37%,9907
酵素,151686,2.33%,10183
食物繊維,130052,1.99%,7768
ビタミン・ミネラル混合,84942,1.30%,2951
グルコサミン・コンドロイチン,71784,1.10%,3995
プラセンタ,62020,0.95%,3692
動物性エキス,60697,0.93%,4194
クエン酸,52158,0.80%,3847
ラクトフェリン,36803,0.56%,1068
ローヤルゼリー,25181,0.39%,1219
オリゴ糖,20697,0.32%,2286
プロポリス,20193,0.31%,1939
ヒアルロン酸,18544,0.28%,1295
動植物性混合エキス,17441,0.27%,1145
ミドリムシ,12509,0.19%,737
核酸,5954,0.09%,426
