ジャンル名,売上指数（千円）,シェア,商品ランク入り数
刺繍キット,26500,67.34%,5250
その他,8707,22.13%,2687
刺繍枠,1745,4.44%,681
刺繍図案,1452,3.69%,612
刺繍針,947,2.41%,585
