ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,719833,33.53%,12562
入浴剤,426462,19.86%,28715
整理棚・ラック,144965,6.75%,11139
バスマット,141503,6.59%,11360
ソープボトル・シャンプーボトル,133371,6.21%,9527
椅子,101617,4.73%,5855
その他,94109,4.38%,10973
自動ソープディスペンサー,73702,3.43%,2205
風呂ふた,70225,3.27%,4414
タオルハンガー,64470,3.00%,6713
サウナハット,31583,1.47%,1767
洗面器・風呂桶,23664,1.10%,2925
ボディタオル,21706,1.01%,5828
浴槽・浴室内マット,17281,0.80%,1734
バス保温器,17006,0.79%,370
セット,15210,0.71%,1131
石けんケース・石けん台,14058,0.65%,3113
ボディスポンジ,10351,0.48%,2088
シャワーヘッドホルダー・シャワーフック,6750,0.31%,1085
ボディブラシ,5892,0.27%,1362
シャワーカーテン,5807,0.27%,1387
バスピロー,3563,0.17%,501
バスブーツ,1982,0.09%,300
泡立てネット,1103,0.05%,390
軽石,765,0.04%,292
