ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,17225,32.38%,2732
山芋・自然薯,15069,28.33%,1718
れんこん,4718,8.87%,1026
菊芋,3829,7.20%,578
ブロッコリー,2688,5.05%,651
たけのこ,2178,4.09%,369
銀杏,1185,2.23%,218
カリフラワー,830,1.56%,160
小松菜,826,1.55%,330
明日葉,791,1.49%,109
ゴーヤー,638,1.20%,140
オクラ,610,1.15%,210
かぶ,586,1.10%,192
セロリ,539,1.01%,141
ピーマン,368,0.69%,215
大葉・しそ,267,0.50%,127
春菊,181,0.34%,69
ヤーコン,170,0.32%,43
行者にんにく,158,0.30%,47
エシャロット,134,0.25%,41
パセリ,114,0.21%,59
水菜,43,0.08%,35
パクチー・コリアンダー,32,0.06%,19
ルッコラ,21,0.04%,12
