ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1694969,24.56%,39854
その他,1455590,21.09%,31000
植物性エキス,558577,8.09%,45613
ビタミン,558525,8.09%,38098
アミノ酸,492783,7.14%,23978
ファイトケミカル,486775,7.05%,13914
ミネラル,243617,3.53%,23474
プロバイオティクス,233010,3.38%,10912
酵素,223304,3.24%,11299
脂肪酸・オイル,190870,2.77%,10974
コラーゲン,156252,2.26%,10997
プラセンタ,115661,1.68%,4109
食物繊維,92242,1.34%,6863
グルコサミン・コンドロイチン,69295,1.00%,4599
ビタミン・ミネラル混合,67314,0.98%,2653
動物性エキス,57295,0.83%,4358
クエン酸,55647,0.81%,3739
オリゴ糖,27659,0.40%,2225
ラクトフェリン,27499,0.40%,976
プロポリス,21076,0.31%,2058
ローヤルゼリー,20360,0.30%,1173
ヒアルロン酸,20160,0.29%,1480
ミドリムシ,15406,0.22%,918
動植物性混合エキス,11865,0.17%,1206
核酸,5004,0.07%,460
