ジャンル名,売上指数（千円）,シェア,商品ランク入り数
レターケース・デスクトレー,27953,28.54%,3998
その他,26727,27.29%,6151
ブックスタンド,17096,17.46%,3004
デスクマット,16943,17.30%,2460
つり銭トレー,4226,4.31%,826
カード立て,3993,4.08%,1313
名刺箱,998,1.02%,249
