ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,444152,26.46%,140916
手帳・ノート・紙製品,244411,14.56%,107337
画材,130280,7.76%,32420
ギフトラッピング用品,105087,6.26%,59517
ファイル・バインダー,101876,6.07%,32591
その他,83620,4.98%,19471
机上収納・整理用品,82476,4.91%,16713
ラベル・ステッカー,82421,4.91%,37015
プレゼンテーション用品,74216,4.42%,9090
写真整理用品,65262,3.89%,12234
はさみ・裁断用品,42038,2.50%,10406
セロハンテープ・のり・接着剤,39683,2.36%,15884
書道用具,39059,2.33%,10711
ブックカバー,22765,1.36%,6117
クリップ・結束用具,22598,1.35%,8588
製図用品,19611,1.17%,6629
紙幣計数機・コインカウンタ,16065,0.96%,437
名札,13061,0.78%,4400
マグネットシート,10647,0.63%,1461
ホッチキス・穴あきパンチ,9822,0.59%,3798
マグネット,8304,0.49%,4300
チェックライター・ナンバーリング,5386,0.32%,593
ブックマーク・しおり,4431,0.26%,1777
画鋲・ピン,3433,0.20%,1187
製本機,2687,0.16%,743
下敷き,2313,0.14%,1824
紙めくり・事務用スポンジ,1682,0.10%,1269
タスキ・腕章,880,0.05%,282
レタースケール,281,0.02%,70
