ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,337097,24.67%,21265
簡易トイレ,222986,16.32%,6482
防災セット・非常用持ちだし袋,202436,14.81%,4704
その他,98708,7.22%,6608
火災警報器・ガス警報器,80135,5.86%,4256
保存水,68446,5.01%,2083
家具転倒防止用品,52173,3.82%,6501
携帯用浄水器,48246,3.53%,880
消火器,38762,2.84%,2137
防災ラジオ,33803,2.47%,1518
懐中電灯,32879,2.41%,4659
携帯トイレ,31139,2.28%,2149
簡易毛布・寝袋,17420,1.27%,2274
給水用品,16532,1.21%,1965
防災ヘルメット,13132,0.96%,1027
防災頭巾,12551,0.92%,1536
メガホン・拡声器,11743,0.86%,728
応急手当用品,9727,0.71%,1110
避難はしご,9146,0.67%,473
固形燃料,8284,0.61%,841
土嚢,5862,0.43%,330
笛・ホイッスル,5563,0.41%,1215
発熱・加熱剤,3988,0.29%,838
担架,2247,0.16%,87
ガソリン缶,2212,0.16%,272
放射能測定器・ガイガーカウンター,792,0.06%,29
防災用ストーブ,586,0.04%,11
