ジャンル名,売上指数（千円）,シェア,商品ランク入り数
防犯カメラ,229543,56.00%,7693
金庫,57241,13.97%,2715
その他,47308,11.54%,5580
ドアまわり防犯用品,30092,7.34%,2077
防犯センサー,9085,2.22%,1135
南京錠,8677,2.12%,1922
キーボックス,7593,1.85%,1040
窓まわり防犯用品,7031,1.72%,1401
防犯システム,6139,1.50%,442
防犯アラーム,4374,1.07%,978
防犯ステッカー,2785,0.68%,1216
