ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,11837,27.63%,1726
ナマコ,7303,17.05%,313
カンパチ,2947,6.88%,201
サメ,2272,5.30%,210
エイ,2049,4.78%,431
カレイ,1865,4.35%,576
ノドグロ,1672,3.90%,248
アユ,1581,3.69%,423
サワラ,1440,3.36%,188
ニシン,1155,2.70%,399
カワハギ,1151,2.69%,359
クエ,912,2.13%,148
ヒラメ,868,2.03%,154
トビウオ,805,1.88%,228
アンコウ,618,1.44%,141
イワナ,607,1.42%,130
クラゲ,572,1.33%,206
ハモ,542,1.26%,152
マス,496,1.16%,163
ハタハタ,427,1.00%,167
アカメ・メヒカリ,327,0.76%,119
キス,286,0.67%,173
コイ,232,0.54%,143
サヨリ,188,0.44%,131
カジキ,162,0.38%,127
タチウオ,153,0.36%,136
コチ,119,0.28%,109
メバル,65,0.15%,108
カマス,52,0.12%,108
イサキ,43,0.10%,96
スズキ,36,0.08%,94
カサゴ,26,0.06%,97
アイナメ,18,0.04%,93
アラ,5,0.01%,4
オコゼ,4,0.01%,91
ヤマメ,3,0.01%,92
