ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー豆,399307,33.17%,26518
ドリップバッグ,303831,25.24%,18755
コーヒー飲料,193774,16.10%,19112
カプセルコーヒー,151112,12.55%,9599
インスタントコーヒー,118360,9.83%,15344
その他,37274,3.10%,3961
