ジャンル名,売上指数（千円）,シェア,商品ランク入り数
手帳・ノート・紙製品,626464,25.24%,151060
筆記具,595011,23.97%,147543
ギフトラッピング用品,132149,5.32%,69369
画材,128361,5.17%,29904
ファイル・バインダー,119760,4.83%,33061
机上収納・整理用品,108391,4.37%,16599
その他,108087,4.35%,19733
プレゼンテーション用品,106111,4.28%,9509
写真整理用品,98312,3.96%,12447
ラベル・ステッカー,91927,3.70%,38287
はさみ・裁断用品,72101,2.90%,11116
セロハンテープ・のり・接着剤,58027,2.34%,16806
書道用具,52930,2.13%,11323
ブックカバー,37008,1.49%,6965
クリップ・結束用具,22993,0.93%,9404
製図用品,19409,0.78%,7131
名札,18021,0.73%,4520
紙幣計数機・コインカウンタ,16410,0.66%,438
マグネットシート,15281,0.62%,1627
ホッチキス・穴あきパンチ,13794,0.56%,4243
マグネット,8805,0.35%,4240
ブックマーク・しおり,8344,0.34%,2124
画鋲・ピン,6096,0.25%,1234
製本機,5825,0.23%,772
チェックライター・ナンバーリング,4152,0.17%,501
下敷き,2386,0.10%,1833
紙めくり・事務用スポンジ,2231,0.09%,1380
タスキ・腕章,1846,0.07%,301
レタースケール,1802,0.07%,197
