ジャンル名,売上指数（千円）,シェア,商品ランク入り数
生地・布,278792,24.14%,38399
道具・キット,206802,17.91%,17162
裁縫材料,182651,15.82%,128481
アクセサリークラフト材料,129560,11.22%,31229
毛糸,80717,6.99%,19511
その他,67458,5.84%,25369
レジン液,53078,4.60%,4901
ビーズ・ストーン,42441,3.68%,30769
レザークラフト材料,39432,3.41%,18761
はぎれ・カットクロス,18103,1.57%,0
陶芸,15844,1.37%,4657
着色剤,13236,1.15%,3083
刺繍材料,11657,1.01%,6567
フェルト,4243,0.37%,0
手芸材料セット,4001,0.35%,1287
編機・織機,3554,0.31%,567
パッチワーク・キルティング材料,1699,0.15%,2043
タイル,1438,0.12%,551
アクセサリークラフトキット(1703削除),0,0.00%,74081
クラフト(1703削除),0,0.00%,5200
ビーズクラフト道具(1703削除),0,0.00%,7478
レジンアクセサリークラフト道具(2002削除),0,0.00%,18689
刺繍道具(1703削除),0,0.00%,8426
編物道具(1703削除),0,0.00%,1877
裁縫道具(1703削除),0,0.00%,26458
