ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1417514,23.71%,35931
その他,1225204,20.50%,30997
ビタミン,525999,8.80%,37228
植物性エキス,458113,7.66%,43236
ファイトケミカル,455536,7.62%,14324
アミノ酸,414067,6.93%,22828
ミネラル,265562,4.44%,25453
プロバイオティクス,221386,3.70%,11275
コラーゲン,149433,2.50%,10838
酵素,140251,2.35%,10360
脂肪酸・オイル,135936,2.27%,9875
食物繊維,121224,2.03%,7830
ビタミン・ミネラル混合,75905,1.27%,3419
グルコサミン・コンドロイチン,61990,1.04%,4052
動物性エキス,59847,1.00%,4188
プラセンタ,55423,0.93%,3348
ラクトフェリン,31633,0.53%,1020
クエン酸,30409,0.51%,3397
ヒアルロン酸,28992,0.48%,1313
オリゴ糖,22425,0.38%,2367
プロポリス,22017,0.37%,2003
ローヤルゼリー,21122,0.35%,1210
動植物性混合エキス,18190,0.30%,1236
ミドリムシ,11063,0.19%,730
核酸,8724,0.15%,302
