ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,268218,17.18%,27620
油,256782,16.44%,23716
砂糖・甘味料,99411,6.37%,14575
しお,98099,6.28%,17606
しょうゆ,94064,6.02%,20970
スパイス,88434,5.66%,25415
ソース・たれ,86302,5.53%,22753
酢,75773,4.85%,9898
みそ,61698,3.95%,16186
ふりかけ,56416,3.61%,14407
その他,46249,2.96%,8904
料理の素,41378,2.65%,12354
麹,38418,2.46%,4280
セット・詰め合わせ,35801,2.29%,2891
ドレッシング,29750,1.91%,9191
めんつゆ,27365,1.75%,6917
みりん,25454,1.63%,3013
中華調味料,19373,1.24%,5798
ポン酢,18774,1.20%,5020
ミックススパイス・混合調味料,16668,1.07%,5723
マヨネーズ,10714,0.69%,2607
アジアン・エスニック調味料,9771,0.63%,2558
ケチャップ,8122,0.52%,2202
ハーブ,7868,0.50%,3316
韓国調味料,7857,0.50%,3072
酒粕,6812,0.44%,1024
料理酒,6648,0.43%,980
ラーメンスープ,5897,0.38%,1712
わさび,4895,0.31%,1496
からし・マスタード,3600,0.23%,1664
ラード,3397,0.22%,268
生わさび,1563,0.10%,329
