ジャンル名,売上指数（千円）,シェア,商品ランク入り数
油,202398,15.99%,23808
だし,178505,14.10%,21850
しお,110558,8.73%,18364
砂糖・甘味料,109306,8.63%,13801
しょうゆ,74913,5.92%,18846
酢,72927,5.76%,10331
スパイス,68884,5.44%,23163
ソース・たれ,67419,5.33%,20542
ふりかけ,43680,3.45%,11668
その他,38965,3.08%,8148
セット・詰め合わせ,38323,3.03%,3397
みそ,34058,2.69%,12272
ドレッシング,33076,2.61%,9064
めんつゆ,30033,2.37%,7206
料理の素,23030,1.82%,7779
麹,20956,1.66%,3112
中華調味料,16472,1.30%,5464
ミックススパイス・混合調味料,15987,1.26%,5423
ポン酢,14509,1.15%,4125
みりん,13720,1.08%,2333
アジアン・エスニック調味料,8910,0.70%,2311
マヨネーズ,8670,0.68%,2287
ケチャップ,5571,0.44%,1880
韓国調味料,5559,0.44%,2660
ハーブ,5225,0.41%,2457
わさび,5198,0.41%,1754
酒粕,4481,0.35%,880
料理酒,3673,0.29%,892
からし・マスタード,3441,0.27%,1534
ラーメンスープ,3166,0.25%,1310
ラード,2254,0.18%,199
生わさび,2038,0.16%,410
