ジャンル名,売上指数（千円）,シェア,商品ランク入り数
和風おせちセット,24782,59.70%,313
その他,5210,12.55%,32
洋風おせちセット,5204,12.54%,106
和洋中おせちセット,3145,7.57%,23
和洋おせちセット,2760,6.65%,81
中華おせちセット,413,0.99%,16
