ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,9518,21.46%,2040
たけのこ,8979,20.25%,802
山芋・自然薯,6101,13.76%,847
ブロッコリー,5126,11.56%,817
菊芋,4917,11.09%,653
れんこん,1978,4.46%,640
行者にんにく,1342,3.03%,158
カリフラワー,1123,2.53%,193
小松菜,1108,2.50%,349
明日葉,933,2.10%,112
オクラ,602,1.36%,201
ゴーヤー,514,1.16%,128
セロリ,502,1.13%,129
ピーマン,408,0.92%,244
銀杏,335,0.76%,79
かぶ,245,0.55%,90
大葉・しそ,202,0.46%,113
パセリ,146,0.33%,77
パクチー・コリアンダー,71,0.16%,35
ヤーコン,54,0.12%,17
水菜,52,0.12%,30
エシャロット,48,0.11%,22
春菊,37,0.08%,38
ルッコラ,4,0.01%,3
