ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スープ,224715,41.49%,15033
ハンバーグ,108030,19.95%,6366
セット・詰め合わせ,83802,15.47%,3570
ピザ,53460,9.87%,3505
その他,27348,5.05%,5111
シチュー,10528,1.94%,1761
コロッケ,9872,1.82%,2071
とんかつ,7836,1.45%,658
グラタン,4458,0.82%,624
ハヤシライス,4181,0.77%,733
リゾット,1994,0.37%,383
サラダ,1879,0.35%,348
ドリア,1490,0.28%,228
ハンバーガー,1073,0.20%,112
パエリア,766,0.14%,99
テリーヌ,155,0.03%,35
