ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,292902,23.90%,5179
蒲焼き,203517,16.61%,6275
みそ汁,153790,12.55%,13532
セット・詰め合わせ,139491,11.38%,7162
佃煮,73204,5.97%,12309
その他,61243,5.00%,9477
お茶漬け,50499,4.12%,3376
唐揚げ,38220,3.12%,1831
雑炊,22193,1.81%,1431
寿司,19206,1.57%,2341
煮物,18159,1.48%,3116
お粥,16499,1.35%,2615
焼豚,15431,1.26%,1319
焼き鳥・つくね,15339,1.25%,1568
おにぎり,14852,1.21%,1437
お好み焼き,14146,1.15%,986
刺身・たたき,13809,1.13%,938
お吸い物,13363,1.09%,1590
おでん,13360,1.09%,1557
おこわ,8374,0.68%,893
たこ焼き,6749,0.55%,783
焼き魚,5643,0.46%,506
白焼き,3831,0.31%,250
ひつまぶし,3323,0.27%,255
天ぷら,3244,0.26%,599
赤飯,1981,0.16%,348
茶碗蒸し,1966,0.16%,260
天かす・揚げ玉,547,0.04%,118
卵焼き,463,0.04%,108
なます・酢の物,190,0.02%,33
もんじゃ焼き,67,0.01%,11
おひたし,36,0.00%,9
