ジャンル名,売上指数（千円）,シェア,商品ランク入り数
クリップ,10808,53.75%,5372
結束バンド,3036,15.10%,1414
その他,2307,11.47%,1069
クリップボード,2269,11.28%,1201
輪ゴム,1244,6.19%,665
つづりひも,444,2.21%,263
