ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,298087,38.02%,5359
蒲焼き,122014,15.56%,5521
みそ汁,76433,9.75%,10809
セット・詰め合わせ,56501,7.21%,4700
その他,39889,5.09%,8598
佃煮,35093,4.48%,9657
お茶漬け,25842,3.30%,2967
煮物,13625,1.74%,2649
焼き鳥・つくね,13435,1.71%,1735
焼豚,11153,1.42%,1151
雑炊,10486,1.34%,1385
寿司,9897,1.26%,1917
刺身・たたき,9110,1.16%,927
お粥,8533,1.09%,2126
おにぎり,7913,1.01%,1050
唐揚げ,7413,0.95%,917
たこ焼き,6406,0.82%,831
お好み焼き,6258,0.80%,1140
おでん,5259,0.67%,1028
お吸い物,4045,0.52%,817
焼き魚,3566,0.45%,428
ひつまぶし,3260,0.42%,282
おこわ,2760,0.35%,624
白焼き,2402,0.31%,287
茶碗蒸し,1975,0.25%,204
赤飯,1160,0.15%,332
天ぷら,1061,0.14%,407
天かす・揚げ玉,160,0.02%,119
卵焼き,133,0.02%,121
もんじゃ焼き,76,0.01%,138
卯の花,3,0.00%,94
おひたし,0,0.00%,93
なます・酢の物,0,0.00%,93
