ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,214771,29.40%,14063
ウコン,59829,8.19%,4780
マカ,50630,6.93%,4484
キノコ・マッシュルーム,45081,6.17%,2013
ブルーベリー,40218,5.50%,3568
サラシア,39215,5.37%,1695
フコイダン,31063,4.25%,689
スピルリナ,29273,4.01%,1186
高麗人参,27317,3.74%,1177
梅肉,24063,3.29%,1495
ノコギリヤシ,23785,3.26%,1719
クロレラ,23601,3.23%,1204
イチョウ葉,22478,3.08%,1929
田七人参,19042,2.61%,1003
トンカットアリ,15543,2.13%,894
フォルスコリ,11684,1.60%,577
ニンニク,10013,1.37%,858
チアシード,7726,1.06%,644
アサイー,7515,1.03%,638
プエラリア,4623,0.63%,479
セントジョーンズワート,3820,0.52%,595
カプサイシン,3325,0.46%,294
マキベリー,3142,0.43%,256
ゴジベリー,3112,0.43%,309
エキナセア,2410,0.33%,325
ビーポーレン,2341,0.32%,182
じゃばら,1263,0.17%,212
黒豆,1204,0.16%,89
ガラナ,1020,0.14%,91
メシマコブ茸,639,0.09%,26
カカオ,492,0.07%,84
カムカム,242,0.03%,33
バジルシード,147,0.02%,24
