ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,19103,32.81%,1651
シジミ,14291,24.54%,1220
スッポン,13727,23.57%,1152
サメ,10786,18.52%,264
卵黄,323,0.55%,104
