ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,276748,57.70%,12814
マルチアミノ酸,72221,15.06%,2509
BCAA,50752,10.58%,2521
ギャバ,38944,8.12%,2759
カルニチン,28057,5.85%,1785
オルニチン,12875,2.68%,1241
