ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,397755,23.23%,9619
入浴剤,292839,17.10%,24760
バスマット,138879,8.11%,10352
ソープボトル・シャンプーボトル,114981,6.71%,7913
整理棚・ラック,112904,6.59%,9077
その他,110534,6.46%,10722
自動ソープディスペンサー,82192,4.80%,2859
風呂ふた,80093,4.68%,3659
椅子,78976,4.61%,5063
ボディタオル,67277,3.93%,7304
タオルハンガー,63779,3.72%,6089
サウナハット,30418,1.78%,2244
ボディブラシ,29229,1.71%,2073
浴槽・浴室内マット,26414,1.54%,2069
石けんケース・石けん台,17864,1.04%,3183
洗面器・風呂桶,14253,0.83%,2350
セット,11683,0.68%,814
シャワーヘッドホルダー・シャワーフック,11392,0.67%,1595
ボディスポンジ,10650,0.62%,2042
バス保温器,8725,0.51%,333
シャワーカーテン,6072,0.35%,1148
バスピロー,2221,0.13%,458
泡立てネット,1462,0.09%,455
バスブーツ,935,0.05%,233
軽石,794,0.05%,272
