ジャンル名,売上指数（千円）,シェア,商品ランク入り数
トイレマット,38332,40.82%,6505
トイレマット・カバーセット,31560,33.61%,4152
便座シート,6913,7.36%,1986
ペーパーホルダーカバー,6538,6.96%,2062
フタカバー,5463,5.82%,1484
便座カバー,4261,4.54%,1403
その他,836,0.89%,341
