ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,11763,30.11%,2168
山芋・自然薯,8006,20.49%,929
菊芋,4155,10.63%,578
ブロッコリー,4146,10.61%,753
れんこん,2269,5.81%,656
たけのこ,1371,3.51%,213
カリフラワー,990,2.53%,154
明日葉,887,2.27%,120
小松菜,842,2.15%,331
ゴーヤー,707,1.81%,143
セロリ,668,1.71%,143
オクラ,626,1.60%,221
銀杏,573,1.47%,104
ピーマン,509,1.30%,216
行者にんにく,445,1.14%,62
かぶ,346,0.88%,130
大葉・しそ,179,0.46%,89
パセリ,154,0.39%,61
ヤーコン,115,0.30%,31
春菊,97,0.25%,57
エシャロット,85,0.22%,27
パクチー・コリアンダー,71,0.18%,32
水菜,39,0.10%,22
ルッコラ,24,0.06%,9
