ジャンル名,売上指数（千円）,シェア,商品ランク入り数
インナー,16761,32.97%,2152
ウエストシェイパー・腹巻,9468,18.63%,1077
二の腕シェイパー,7448,14.65%,547
ソックス,6351,12.49%,983
ふくらはぎシェイパー,4737,9.32%,611
その他,3254,6.40%,200
フェイスマスク,2387,4.70%,519
太ももシェイパー,426,0.84%,106
