ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,89773,32.80%,8006
こめ油,48668,17.78%,3248
ココナッツオイル,31074,11.35%,2509
ごま油,22110,8.08%,3151
亜麻仁油,20306,7.42%,1438
その他,16940,6.19%,2561
なたね油・キャノーラ油,13914,5.08%,1637
えごま油,8081,2.95%,1067
サラダ油,6802,2.49%,570
グレープシードオイル,5103,1.86%,264
セット・詰め合わせ,4093,1.50%,569
大豆油,2776,1.01%,185
ひまわり油,828,0.30%,130
トリュフオイル,788,0.29%,137
アボカドオイル,732,0.27%,100
椿油,721,0.26%,107
べに花油,506,0.18%,66
玄米油,353,0.13%,63
ピーナッツオイル,74,0.03%,28
コーン油,30,0.01%,8
マスタードオイル,6,0.00%,3
