ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,299511,34.58%,37355
その他,156533,18.07%,18090
モップ,85828,9.91%,6990
ガラス・サッシ掃除用具,45605,5.27%,6291
フローリングワックス,44368,5.12%,3409
フロアワイパー・ダスター本体,41240,4.76%,4959
雑巾・テーブルダスター,39912,4.61%,5864
ほうき,33472,3.86%,4792
粘着式クリーナー,21303,2.46%,3693
はたき,21042,2.43%,1669
フロアワイパー・ダスター取替シート,20765,2.40%,3459
バケツ,19507,2.25%,2523
使い捨てクロス,18386,2.12%,2574
トイレポット,8406,0.97%,999
スプレーボトル,4020,0.46%,1037
ちりとり,3642,0.42%,879
ラバーカップ,1786,0.21%,308
モップ絞り器,744,0.09%,108
