ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,207458,28.87%,29195
その他,150173,20.90%,16710
モップ,107928,15.02%,5431
雑巾・テーブルダスター,40539,5.64%,5315
ほうき,34531,4.81%,4568
フローリングワックス,30121,4.19%,2737
使い捨てクロス,30014,4.18%,2160
ガラス・サッシ掃除用具,25493,3.55%,3374
フロアワイパー・ダスター取替シート,23115,3.22%,2931
フロアワイパー・ダスター本体,17256,2.40%,3828
粘着式クリーナー,17210,2.40%,2789
バケツ,12432,1.73%,2618
トイレポット,9144,1.27%,1006
はたき,5275,0.73%,798
スプレーボトル,4679,0.65%,1267
ちりとり,2314,0.32%,790
モップ絞り器,558,0.08%,121
ラバーカップ,271,0.04%,157
