ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,389020,27.00%,135010
手帳・ノート・紙製品,211081,14.65%,91251
画材,111145,7.71%,33255
その他,107490,7.46%,24184
ギフトラッピング用品,99756,6.92%,61020
ファイル・バインダー,73572,5.11%,31238
ラベル・ステッカー,66423,4.61%,5760
机上収納・整理用品,62892,4.36%,16729
写真整理用品,61444,4.26%,666
プレゼンテーション用品,58297,4.05%,9337
書道用具,37537,2.61%,11837
セロハンテープ・のり・接着剤,33712,2.34%,2566
はさみ・裁断用品,33516,2.33%,7475
ブックカバー,17342,1.20%,6168
製図用品,14901,1.03%,6764
クリップ・結束用具,12867,0.89%,4982
ホッチキス・穴あきパンチ,10286,0.71%,3810
名札,8848,0.61%,4188
マグネット,7391,0.51%,4162
紙幣計数機・コインカウンタ,4851,0.34%,346
マグネットシート,4323,0.30%,1393
画鋲・ピン,3043,0.21%,1394
製本機,2905,0.20%,1026
下敷き,1969,0.14%,1515
ブックマーク・しおり,1968,0.14%,1244
紙めくり・事務用スポンジ,1859,0.13%,1487
チェックライター・ナンバーリング,1555,0.11%,208
レタースケール,449,0.03%,170
タスキ・腕章,431,0.03%,193
アルバム(1901削除),0,0.00%,12519
システム手帳(1703削除),0,0.00%,3198
事務用品(1703削除),0,0.00%,40997
手帳(1703削除),0,0.00%,10832
手帳・日記帳・家計簿(2202削除),0,0.00%,6742
