ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,184349,28.91%,29274
その他,151703,23.79%,15637
モップ,86744,13.60%,5995
雑巾・テーブルダスター,31335,4.91%,5015
使い捨てクロス,29699,4.66%,2304
ほうき,26785,4.20%,4094
フローリングワックス,25257,3.96%,2601
ガラス・サッシ掃除用具,22105,3.47%,3719
フロアワイパー・ダスター取替シート,18623,2.92%,2962
フロアワイパー・ダスター本体,17071,2.68%,3551
粘着式クリーナー,13791,2.16%,2996
バケツ,12749,2.00%,2652
トイレポット,6529,1.02%,1008
はたき,4118,0.65%,841
スプレーボトル,3040,0.48%,1122
ちりとり,2507,0.39%,728
モップ絞り器,656,0.10%,147
ラバーカップ,596,0.09%,128
