ジャンル名,売上指数（千円）,シェア,商品ランク入り数
日用消耗品,4029433,30.28%,151541
文房具・事務用品,1376415,10.34%,523547
バス用品,1306469,9.82%,110324
生活雑貨,1163176,8.74%,403363
手芸・クラフト・生地,1154708,8.68%,475546
タオル,801222,6.02%,90170
仏壇・仏具・神具,719121,5.40%,77785
掃除用品,474536,3.57%,74652
防犯関連グッズ,427945,3.22%,27326
防災関連グッズ,411076,3.09%,49301
その他,402140,3.02%,27649
洗濯用品,376207,2.83%,50349
印鑑・ハンコ,303047,2.28%,67540
トイレ用品,208309,1.57%,37115
旅行用品,101837,0.77%,17274
冠婚葬祭,47973,0.36%,1143
洋服ブラシ・毛玉取り,5396,0.04%,588
アロマ・お香(1703削除),0,0.00%,52515
洗剤・柔軟剤・クリーナー(1703削除),0,0.00%,35580
洗面用具(1703削除),0,0.00%,14399
