ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ゲルマニウムネックレス,1996,35.60%,130
ゲルマニウムシール,1442,25.72%,107
ゲルマニウムブレスレット,1244,22.19%,110
その他,857,15.28%,28
ゲルマニウム温浴ボール,60,1.07%,8
ゲルマニウムリング,8,0.15%,1
