ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1552057,26.70%,159153
コーヒー,1416722,24.37%,97762
水・炭酸水,1037093,17.84%,28000
炭酸飲料,633054,10.89%,26687
野菜・果実飲料,562883,9.68%,28000
植物性ミルク,106821,1.84%,12388
スポーツドリンク,98176,1.69%,8823
乳酸菌飲料,87958,1.51%,8988
お酢飲料,69268,1.19%,7406
甘酒,58621,1.01%,6872
希釈用ドリンク,47777,0.82%,4770
その他,44950,0.77%,5034
ココア・チョコレートドリンク,27390,0.47%,4480
ゼリー飲料,23089,0.40%,3579
スムージー,16252,0.28%,1248
牛乳,14976,0.26%,2232
生姜湯,8627,0.15%,1143
フルーツ入り乳飲料,4490,0.08%,586
柚子茶,3357,0.06%,438
