ジャンル名,売上指数（千円）,シェア,商品ランク入り数
磁気アクセサリー,149556,81.72%,4684
その他,21860,11.94%,1537
チタンアクセサリー,5634,3.08%,1033
マイナスイオンアクセサリー,2734,1.49%,365
ゲルマニウムアクセサリー,2376,1.30%,258
ブラックシリカ,632,0.35%,124
トルマリンアクセサリー,219,0.12%,42
