ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,8806,25.55%,2047
山芋・自然薯,6968,20.21%,849
菊芋,4280,12.42%,567
ブロッコリー,3706,10.75%,563
大葉・しそ,2475,7.18%,362
カリフラワー,1319,3.83%,221
れんこん,1270,3.68%,403
たけのこ,1200,3.48%,314
明日葉,1025,2.97%,137
ゴーヤー,811,2.35%,205
オクラ,555,1.61%,258
小松菜,420,1.22%,269
ピーマン,375,1.09%,211
セロリ,277,0.80%,144
銀杏,258,0.75%,108
行者にんにく,177,0.51%,142
ヤーコン,139,0.40%,100
エシャロット,136,0.39%,126
パクチー・コリアンダー,101,0.29%,124
パセリ,76,0.22%,178
かぶ,49,0.14%,109
水菜,25,0.07%,105
春菊,16,0.05%,101
ルッコラ,7,0.02%,97
