ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,81832,17.76%,16472
とうもろこし,62241,13.51%,4585
にんにく,57474,12.47%,5776
たまねぎ,32561,7.07%,3365
サツマイモ,28209,6.12%,3217
その他野菜,26980,5.85%,7840
セット・詰め合わせ,24169,5.24%,3121
トマト,18724,4.06%,3389
アスパラガス,18312,3.97%,1919
きのこ,17924,3.89%,4242
カット野菜,14601,3.17%,1404
ジャガイモ,13497,2.93%,2381
にんじん,12984,2.82%,1727
らっきょう,9206,2.00%,1175
生姜,9191,1.99%,1671
その他,7731,1.68%,2200
山菜,4854,1.05%,1064
かぼちゃ,3308,0.72%,855
ねぎ,2966,0.64%,979
ごぼう,2877,0.62%,908
キャベツ,2554,0.55%,756
ほうれん草,2152,0.47%,749
ナス,1713,0.37%,619
水煮野菜,1194,0.26%,309
大根,988,0.21%,493
キュウリ,874,0.19%,357
レタス,684,0.15%,311
里芋,469,0.10%,199
白菜,393,0.09%,187
ニラ,205,0.04%,161
