ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,1090686,39.79%,205481
手帳・ノート・紙製品,366894,13.39%,152645
その他,156169,5.70%,28549
ギフトラッピング用品,136840,4.99%,74590
ファイル・バインダー,130885,4.77%,44371
画材,121240,4.42%,36186
机上収納・整理用品,119452,4.36%,23118
ラベル・ステッカー,96479,3.52%,37967
写真整理用品,94508,3.45%,16290
プレゼンテーション用品,86662,3.16%,11278
書道用具,72171,2.63%,13672
はさみ・裁断用品,60304,2.20%,14839
セロハンテープ・のり・接着剤,48698,1.78%,20760
ブックカバー,32908,1.20%,8156
製図用品,21891,0.80%,9047
クリップ・結束用具,18727,0.68%,11021
ホッチキス・穴あきパンチ,17048,0.62%,6204
名札,16155,0.59%,5809
マグネットシート,10147,0.37%,1819
マグネット,9142,0.33%,4828
紙幣計数機・コインカウンタ,6265,0.23%,362
製本機,5535,0.20%,1216
下敷き,5275,0.19%,3515
画鋲・ピン,5087,0.19%,1760
ブックマーク・しおり,5025,0.18%,2259
紙めくり・事務用スポンジ,2551,0.09%,1589
チェックライター・ナンバーリング,2504,0.09%,278
タスキ・腕章,1193,0.04%,303
レタースケール,616,0.02%,153
