ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,1410112,19.69%,30363
プロテイン,1368571,19.11%,36340
植物性エキス,710672,9.92%,50134
ビタミン,675070,9.43%,41075
ファイトケミカル,528709,7.38%,15109
アミノ酸,496703,6.94%,23571
ミネラル,350849,4.90%,26836
プロバイオティクス,293098,4.09%,12943
コラーゲン,223383,3.12%,12488
脂肪酸・オイル,188891,2.64%,10805
酵素,172961,2.42%,11508
食物繊維,140742,1.97%,8394
ビタミン・ミネラル混合,96268,1.34%,3021
動物性エキス,82220,1.15%,4733
グルコサミン・コンドロイチン,82097,1.15%,4573
プラセンタ,71271,1.00%,3869
ラクトフェリン,48997,0.68%,1178
ローヤルゼリー,44787,0.63%,1434
プロポリス,36434,0.51%,2960
クエン酸,34303,0.48%,3217
ヒアルロン酸,34151,0.48%,1708
オリゴ糖,24943,0.35%,2539
動植物性混合エキス,22507,0.31%,1269
ミドリムシ,18766,0.26%,819
核酸,5131,0.07%,390
