ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,30496,12.50%,24556
リボン,26442,10.84%,20650
ひも,23031,9.44%,12178
手芸用テープ,22051,9.04%,13611
ファスナー,20147,8.26%,13035
ボタン,16901,6.93%,12991
その他,16642,6.82%,8882
ミシン糸,13679,5.61%,7721
レース,12961,5.31%,13221
接着テープ・接着芯,9632,3.95%,4201
持ち手・ハンドル,6197,2.54%,2557
口金,5974,2.45%,2967
芯地,5683,2.33%,1549
ゴム,5419,2.22%,3783
型紙・パターン,4765,1.95%,3079
ホック,4690,1.92%,2615
面ファスナー,3965,1.63%,1443
手縫い糸,3569,1.46%,3057
バックル,2714,1.11%,2532
ブレード,2677,1.10%,2527
ネームシール,1726,0.71%,932
チェーン,1348,0.55%,993
裏地,1277,0.52%,638
スパンコール,1222,0.50%,1603
マラボー,421,0.17%,144
肩パット,256,0.10%,166
