ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,545389,33.26%,10731
入浴剤,345012,21.04%,28388
整理棚・ラック,98064,5.98%,9449
その他,95741,5.84%,11135
ソープボトル・シャンプーボトル,89155,5.44%,8936
バスマット,83919,5.12%,9816
風呂ふた,81939,5.00%,5717
椅子,68420,4.17%,5156
自動ソープディスペンサー,54067,3.30%,2015
タオルハンガー,45773,2.79%,6085
バス保温器,24451,1.49%,419
洗面器・風呂桶,18956,1.16%,2826
サウナハット,17957,1.09%,1259
ボディタオル,17215,1.05%,5823
セット,10902,0.66%,894
浴槽・浴室内マット,10483,0.64%,1656
石けんケース・石けん台,8851,0.54%,2841
ボディスポンジ,8102,0.49%,2105
シャワーカーテン,4099,0.25%,1197
ボディブラシ,3575,0.22%,1371
シャワーヘッドホルダー・シャワーフック,2963,0.18%,741
バスピロー,2672,0.16%,517
バスブーツ,1135,0.07%,296
泡立てネット,616,0.04%,366
軽石,563,0.03%,294
