ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,209035,31.72%,14388
マカ,53530,8.12%,4778
サラシア,50103,7.60%,1713
キノコ・マッシュルーム,46488,7.05%,2240
ウコン,40655,6.17%,5018
ブルーベリー,39466,5.99%,3748
スピルリナ,33748,5.12%,1285
ノコギリヤシ,25253,3.83%,1840
イチョウ葉,23013,3.49%,2106
高麗人参,21616,3.28%,1212
クロレラ,16098,2.44%,1147
フォルスコリ,13626,2.07%,756
田七人参,13293,2.02%,773
梅肉,13027,1.98%,1408
フコイダン,13024,1.98%,336
ニンニク,7368,1.12%,850
トンカットアリ,6557,0.99%,695
チアシード,5535,0.84%,608
アサイー,4951,0.75%,479
プエラリア,3590,0.54%,474
セントジョーンズワート,3215,0.49%,665
カプサイシン,2704,0.41%,354
黒豆,2533,0.38%,113
マキベリー,2342,0.36%,224
エキナセア,2144,0.33%,451
ビーポーレン,1782,0.27%,197
ゴジベリー,1633,0.25%,181
じゃばら,1355,0.21%,226
ガラナ,785,0.12%,80
カムカム,259,0.04%,48
メシマコブ茸,202,0.03%,9
カカオ,140,0.02%,34
バジルシード,30,0.00%,8
