ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,84116,15.65%,14855
にんにく,76408,14.22%,6451
きのこ,68076,12.67%,5528
サツマイモ,59404,11.05%,5247
たまねぎ,32938,6.13%,3420
ジャガイモ,31735,5.90%,2969
その他野菜,30747,5.72%,6387
セット・詰め合わせ,26293,4.89%,2771
生姜,22360,4.16%,1918
とうもろこし,20710,3.85%,1716
カット野菜,14532,2.70%,1606
にんじん,13139,2.44%,1408
トマト,12813,2.38%,2038
その他,7888,1.47%,1787
かぼちゃ,7733,1.44%,1312
ねぎ,4864,0.91%,1111
山菜,4576,0.85%,703
ごぼう,2998,0.56%,772
里芋,2514,0.47%,519
ほうれん草,2281,0.42%,552
水煮野菜,1792,0.33%,323
大根,1716,0.32%,561
ナス,1591,0.30%,624
キャベツ,1492,0.28%,555
アスパラガス,1385,0.26%,292
キュウリ,1187,0.22%,292
らっきょう,1146,0.21%,210
レタス,558,0.10%,262
白菜,309,0.06%,149
ニラ,161,0.03%,68
