ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,154158,27.49%,15864
スポンジ・たわし・ブラシ,146051,26.05%,31221
モップ,57758,10.30%,5590
雑巾・テーブルダスター,31067,5.54%,4899
フローリングワックス,28434,5.07%,2392
ガラス・サッシ掃除用具,21779,3.88%,3700
ほうき,21705,3.87%,3800
バケツ,19614,3.50%,2867
フロアワイパー・ダスター本体,18443,3.29%,3414
フロアワイパー・ダスター取替シート,15400,2.75%,3215
粘着式クリーナー,15213,2.71%,2986
使い捨てクロス,13302,2.37%,2251
トイレポット,6043,1.08%,940
はたき,4295,0.77%,902
スプレーボトル,3186,0.57%,1116
ちりとり,2143,0.38%,638
モップ絞り器,1187,0.21%,162
ラバーカップ,905,0.16%,231
