ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,251523,18.05%,26712
油,203376,14.59%,20906
しお,102951,7.39%,17101
砂糖・甘味料,88330,6.34%,14021
しょうゆ,83735,6.01%,19615
スパイス,81865,5.87%,24067
みそ,72852,5.23%,16673
ソース・たれ,66124,4.74%,19969
酢,59069,4.24%,8687
ふりかけ,50634,3.63%,13276
その他,39982,2.87%,7950
麹,38496,2.76%,4505
料理の素,32298,2.32%,10203
セット・詰め合わせ,31122,2.23%,2771
ドレッシング,23223,1.67%,8003
みりん,22744,1.63%,2812
めんつゆ,22501,1.61%,6037
中華調味料,18730,1.34%,5560
ポン酢,16684,1.20%,4406
ミックススパイス・混合調味料,15136,1.09%,5219
酒粕,12870,0.92%,2108
マヨネーズ,8928,0.64%,2422
アジアン・エスニック調味料,7836,0.56%,2231
ハーブ,7752,0.56%,3148
韓国調味料,7050,0.51%,2851
ケチャップ,5977,0.43%,1889
料理酒,5972,0.43%,1056
ラーメンスープ,4472,0.32%,1643
わさび,3838,0.28%,1379
ラード,2983,0.21%,308
からし・マスタード,2651,0.19%,1432
生わさび,1857,0.13%,381
