ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,419682,27.75%,10244
入浴剤,359146,23.75%,28770
ソープボトル・シャンプーボトル,98282,6.50%,8218
風呂ふた,91265,6.04%,5972
バスマット,86475,5.72%,9248
整理棚・ラック,81066,5.36%,8875
その他,73304,4.85%,10413
椅子,66710,4.41%,5209
自動ソープディスペンサー,47090,3.11%,2180
タオルハンガー,46034,3.04%,5742
バス保温器,21619,1.43%,461
ボディタオル,21074,1.39%,5789
サウナハット,19711,1.30%,1774
浴槽・浴室内マット,16749,1.11%,1985
洗面器・風呂桶,15603,1.03%,2622
ボディスポンジ,10749,0.71%,2023
セット,7645,0.51%,830
石けんケース・石けん台,7502,0.50%,2412
シャワーヘッドホルダー・シャワーフック,5883,0.39%,1166
シャワーカーテン,5155,0.34%,1291
ボディブラシ,4791,0.32%,1216
バスピロー,3958,0.26%,504
泡立てネット,1041,0.07%,434
バスブーツ,887,0.06%,229
軽石,747,0.05%,291
