ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,401048,31.01%,9685
入浴剤,246847,19.09%,28332
整理棚・ラック,80240,6.20%,8561
バスマット,79471,6.14%,9610
風呂ふた,76329,5.90%,5606
ソープボトル・シャンプーボトル,75376,5.83%,8277
その他,73806,5.71%,10034
椅子,55359,4.28%,4925
自動ソープディスペンサー,46177,3.57%,2008
タオルハンガー,38500,2.98%,5461
バス保温器,21048,1.63%,427
サウナハット,16993,1.31%,1250
洗面器・風呂桶,16447,1.27%,2617
ボディタオル,14269,1.10%,5307
浴槽・浴室内マット,10883,0.84%,1587
ボディスポンジ,8566,0.66%,2062
石けんケース・石けん台,8304,0.64%,2579
セット,8159,0.63%,760
ボディブラシ,3861,0.30%,1327
シャワーカーテン,3777,0.29%,1110
シャワーヘッドホルダー・シャワーフック,3254,0.25%,736
バスピロー,2426,0.19%,478
バスブーツ,1157,0.09%,254
泡立てネット,604,0.05%,313
軽石,503,0.04%,266
