ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,316524,18.83%,28436
油,270751,16.10%,26688
砂糖・甘味料,108166,6.43%,14458
しお,101466,6.04%,17254
スパイス,100208,5.96%,27075
しょうゆ,94451,5.62%,22384
ソース・たれ,79391,4.72%,22143
酢,73691,4.38%,9900
みそ,62421,3.71%,16862
その他,57397,3.41%,9377
セット・詰め合わせ,57368,3.41%,3829
ふりかけ,56676,3.37%,13770
料理の素,39421,2.34%,12223
麹,30715,1.83%,3709
ドレッシング,30407,1.81%,9304
めんつゆ,26815,1.59%,6577
みりん,25987,1.55%,3053
ポン酢,22990,1.37%,5443
中華調味料,20411,1.21%,5806
ミックススパイス・混合調味料,19607,1.17%,6086
韓国調味料,17288,1.03%,3412
マヨネーズ,10189,0.61%,2466
酒粕,9075,0.54%,1394
ハーブ,8706,0.52%,3498
アジアン・エスニック調味料,8348,0.50%,2403
料理酒,7963,0.47%,1111
ケチャップ,6908,0.41%,1931
わさび,4923,0.29%,1672
ラーメンスープ,4618,0.27%,1494
からし・マスタード,3693,0.22%,1687
ラード,2953,0.18%,257
生わさび,1705,0.10%,383
