ジャンル名,売上指数（千円）,シェア,商品ランク入り数
手芸用テープ,35464,17.04%,11795
ワッペン・アップリケ,24416,11.73%,22243
リボン,23023,11.06%,19002
ひも,15915,7.65%,10745
ファスナー,15028,7.22%,11179
その他,14665,7.05%,7896
ボタン,13842,6.65%,13563
ミシン糸,10263,4.93%,6884
レース,9926,4.77%,10690
接着テープ・接着芯,7470,3.59%,3677
ゴム,4125,1.98%,3101
口金,4014,1.93%,2339
芯地,3965,1.91%,1360
持ち手・ハンドル,3760,1.81%,1771
面ファスナー,3495,1.68%,1276
ホック,3397,1.63%,2335
手縫い糸,2955,1.42%,2662
型紙・パターン,2854,1.37%,2079
ブレード,2263,1.09%,2021
バックル,2165,1.04%,2067
ネームシール,1479,0.71%,837
スパンコール,1184,0.57%,1888
チェーン,984,0.47%,934
裏地,957,0.46%,614
マラボー,330,0.16%,123
肩パット,174,0.08%,115
