ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,109895,46.84%,2184
その他,24099,10.27%,3863
位牌,19779,8.43%,1289
りん,15023,6.40%,1469
具足・仏具セット,14909,6.35%,1238
骨壷,10506,4.48%,1205
仏像,6931,2.95%,458
掛軸,4514,1.92%,638
盆提灯,4212,1.80%,441
仏花,3860,1.65%,722
経机,3658,1.56%,312
花立,3210,1.37%,645
香炉,2959,1.26%,631
線香立,2650,1.13%,980
具足,1906,0.81%,234
香炉灰・香炉石,1113,0.47%,515
仏具用お手入れ用品,896,0.38%,354
骨袋,832,0.35%,278
経本,797,0.34%,364
香道具,713,0.30%,244
香立て,687,0.29%,172
木魚,674,0.29%,56
水晶玉,413,0.18%,67
線香着火器,393,0.17%,190
