ジャンル名,売上指数（千円）,シェア,商品ランク入り数
カニ,213574,13.08%,7791
貝類,201989,12.37%,14885
加工品,200575,12.28%,23415
セット・詰め合わせ,154317,9.45%,10647
魚卵,153173,9.38%,12449
エビ,109538,6.71%,6585
イカ,104381,6.39%,10287
サケ,95591,5.85%,8397
マグロ,92599,5.67%,5399
海藻類,55275,3.38%,9744
その他水産物,43804,2.68%,8949
サバ,36875,2.26%,4134
ウニ,33159,2.03%,2259
フグ,25501,1.56%,1862
カツオ,17005,1.04%,1960
タイ,16930,1.04%,1820
その他,14370,0.88%,1716
サンマ,12727,0.78%,1050
ブリ,10114,0.62%,599
イワシ,9768,0.60%,2509
ホッケ,8465,0.52%,969
タコ,8439,0.52%,1702
タラ,5728,0.35%,1106
アジ,5128,0.31%,1285
生ちりめん・生しらす,2351,0.14%,575
シシャモ,1596,0.10%,364
