ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,336969,26.15%,119427
手帳・ノート・紙製品,202778,15.73%,112523
画材,101029,7.84%,33875
その他,87331,6.78%,23631
ギフトラッピング用品,72833,5.65%,54360
写真整理用品,70196,5.45%,13108
ファイル・バインダー,68541,5.32%,28172
机上収納・整理用品,61260,4.75%,14743
プレゼンテーション用品,58254,4.52%,8136
ラベル・ステッカー,56299,4.37%,34379
書道用具,34105,2.65%,10453
はさみ・裁断用品,30622,2.38%,9175
セロハンテープ・のり・接着剤,28077,2.18%,14147
ブックカバー,17422,1.35%,5925
製図用品,12117,0.94%,6136
クリップ・結束用具,8934,0.69%,7053
ホッチキス・穴あきパンチ,8386,0.65%,3295
名札,7176,0.56%,3239
マグネット,5729,0.44%,3681
紙幣計数機・コインカウンタ,5260,0.41%,307
マグネットシート,4300,0.33%,1240
画鋲・ピン,2798,0.22%,1248
製本機,2353,0.18%,971
ブックマーク・しおり,1531,0.12%,1123
チェックライター・ナンバーリング,1454,0.11%,178
下敷き,1107,0.09%,1217
紙めくり・事務用スポンジ,1097,0.09%,1167
タスキ・腕章,526,0.04%,190
レタースケール,323,0.03%,145
