ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,570935,25.50%,146387
手帳・ノート・紙製品,505919,22.60%,141264
画材,141107,6.30%,31321
ギフトラッピング用品,125660,5.61%,67014
ファイル・バインダー,119900,5.36%,34092
写真整理用品,99346,4.44%,13307
机上収納・整理用品,98564,4.40%,17794
ラベル・ステッカー,90790,4.06%,37172
プレゼンテーション用品,86950,3.88%,9466
その他,82092,3.67%,20045
はさみ・裁断用品,57255,2.56%,10832
セロハンテープ・のり・接着剤,48856,2.18%,16740
書道用具,45118,2.02%,11293
ブックカバー,33117,1.48%,7226
クリップ・結束用具,20683,0.92%,9063
製図用品,20105,0.90%,7538
紙幣計数機・コインカウンタ,15368,0.69%,393
名札,14245,0.64%,4470
マグネットシート,14115,0.63%,1613
ホッチキス・穴あきパンチ,10783,0.48%,4112
マグネット,9866,0.44%,4433
ブックマーク・しおり,7777,0.35%,2162
画鋲・ピン,4944,0.22%,1292
チェックライター・ナンバーリング,4418,0.20%,522
製本機,3868,0.17%,774
下敷き,2725,0.12%,1966
紙めくり・事務用スポンジ,2094,0.09%,1380
タスキ・腕章,1378,0.06%,271
レタースケール,981,0.04%,130
