ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1987115,27.83%,167928
コーヒー,1780250,24.94%,106100
水・炭酸水,1272192,17.82%,30000
炭酸飲料,692957,9.71%,28387
野菜・果実飲料,673800,9.44%,30000
スポーツドリンク,132083,1.85%,10139
植物性ミルク,121097,1.70%,13451
乳酸菌飲料,111640,1.56%,9999
お酢飲料,79951,1.12%,7902
甘酒,70051,0.98%,7252
その他,50672,0.71%,5320
希釈用ドリンク,50589,0.71%,4709
ココア・チョコレートドリンク,30363,0.43%,5009
ゼリー飲料,29651,0.42%,3942
スムージー,21453,0.30%,1359
牛乳,16713,0.23%,2333
生姜湯,10622,0.15%,1284
フルーツ入り乳飲料,4688,0.07%,591
柚子茶,3456,0.05%,441
